TSB Ergonomic Report
  Job Title: 
  Job Number: 
  Location: 
  Analyst: 
  Date: 
  Comments: 
  
Time (sec),,, Joint Angles (deg),,,,,,,,,,,,,,,,,,,,,,,Joint Torques (Nm),,,,,,,,,,,,,,,,,,,,,,,Mean Strengths (Nm),,,,,,,,,,,,,,,,,,,,,,,Strength Std Devs (Nm),,,,,,,,,,,,,,,,,,,,,,,Percent Capables (%),,,,,,,,,,,,,,,,,,,,,,,
Time,Task,Action,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,
3.733, ,,0.000,50.257,-0.000,45.000,-0.000,-31.935,91.559,94.910,34.500,29.750,81.544,-37.733,53.800,-52.590,89.986,0.000,0.015,176.414,176.050,163.780,164.191,68.247,67.771,0.057,0.674,-0.150,-1.639,0.018,0.333,-10.116,-1.961,-14.611,-3.407,-8.667,-1.207,-4.263,-0.870,-28.488,-5.406,0.288,-16.639,-14.671,-29.912,-27.724,-99.484,-87.536,7.595,7.085,10.230,6.402,13.580,15.105,74.457,69.643,69.541,75.941,104.237,91.682,41.146,34.725,225.164,152.647,85.621,195.984,195.963,135.183,135.556,171.367,172.082,2.430,2.267,3.274,2.049,4.617,5.136,18.296,17.113,17.113,18.688,28.439,25.014,9.319,7.865,70.944,33.010,22.906,78.682,78.673,39.811,39.921,56.670,56.906,99.903,99.765,99.896,98.996,99.834,99.798,100.000,100.000,99.933,100.000,99.961,100.000,100.000,100.000,99.721,100.000,100.000,98.867,98.939,99.590,99.654,89.772,93.134,
3.767, ,,0.000,50.257,-0.000,45.000,-0.000,-31.935,91.559,94.910,34.500,29.750,81.544,-37.733,53.800,-52.590,89.986,0.000,0.015,176.414,176.050,163.780,164.191,68.247,67.771,0.057,0.073,-0.150,-0.179,0.018,0.035,-2.124,-1.961,-5.352,-3.407,-2.013,-1.207,-0.926,-0.870,-15.532,-6.198,0.100,-9.517,-8.666,-21.977,-21.302,-88.083,-79.871,7.595,7.085,10.230,6.402,13.580,15.105,74.457,69.643,69.541,75.941,104.237,91.682,41.146,34.725,225.164,152.647,85.621,195.984,195.963,135.183,135.556,171.367,172.082,2.430,2.267,3.274,2.049,4.617,5.136,18.296,17.113,17.113,18.688,28.439,25.014,9.319,7.865,70.944,33.010,22.906,78.682,78.673,39.811,39.921,56.670,56.906,99.903,99.900,99.896,99.880,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.843,100.000,100.000,99.110,99.135,99.776,99.789,92.919,94.744,
3.800, ,Release,0.000,50.257,-0.000,45.000,-0.000,-31.935,91.559,94.910,34.500,29.750,81.544,-37.733,53.800,-52.590,89.986,0.000,0.015,176.414,176.050,163.780,164.191,68.247,67.771,0.057,0.073,-0.150,-0.179,0.018,0.035,-2.124,-1.961,-5.352,-3.407,-2.013,-1.207,-0.926,-0.870,-15.532,-6.198,0.100,-9.517,-8.666,-21.977,-21.302,-88.083,-79.871,7.595,7.085,10.230,6.402,13.580,15.105,74.457,69.643,69.541,75.941,104.237,91.682,41.146,34.725,225.164,152.647,85.621,195.984,195.963,135.183,135.556,171.367,172.082,2.430,2.267,3.274,2.049,4.617,5.136,18.296,17.113,17.113,18.688,28.439,25.014,9.319,7.865,70.944,33.010,22.906,78.682,78.673,39.811,39.921,56.670,56.906,99.903,99.900,99.896,99.880,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.843,100.000,100.000,99.110,99.135,99.776,99.789,92.919,94.744,
3.833, ,,0.000,50.257,-0.000,45.000,-0.000,-31.935,91.559,94.910,34.500,29.750,81.544,-37.733,53.800,-52.590,89.986,0.000,0.015,176.414,176.050,163.780,164.191,68.247,67.771,0.057,0.073,-0.150,-0.179,0.018,0.035,-2.124,-1.961,-5.352,-3.407,-2.013,-1.207,-0.926,-0.870,-15.532,-6.198,0.100,-9.517,-8.666,-21.977,-21.302,-88.083,-79.871,7.595,7.085,10.230,6.402,13.580,15.105,74.457,69.643,69.541,75.941,104.237,91.682,41.146,34.725,225.164,152.647,85.621,195.984,195.963,135.183,135.556,171.367,172.082,2.430,2.267,3.274,2.049,4.617,5.136,18.296,17.113,17.113,18.688,28.439,25.014,9.319,7.865,70.944,33.010,22.906,78.682,78.673,39.811,39.921,56.670,56.906,99.903,99.900,99.896,99.880,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.843,100.000,100.000,99.110,99.135,99.776,99.789,92.919,94.744,
3.867, Pose,Pose,0.000,50.257,-0.000,45.000,-0.000,-31.935,91.559,94.910,34.500,29.750,81.544,-37.733,53.800,-52.590,89.986,0.000,0.015,176.414,176.050,163.780,164.191,68.247,67.772,0.057,0.073,-0.150,-0.179,0.018,0.035,-2.124,-1.961,-5.352,-3.407,-2.013,-1.207,-0.926,-0.870,-15.532,-6.198,0.100,-9.517,-8.668,-21.977,-21.303,-88.081,-79.874,7.595,7.085,10.230,6.402,13.580,15.105,74.457,69.643,69.541,75.941,104.237,91.682,41.146,34.725,225.164,152.647,85.621,195.984,195.963,135.183,135.556,171.367,172.081,2.430,2.267,3.274,2.049,4.617,5.136,18.296,17.113,17.113,18.688,28.439,25.014,9.319,7.865,70.944,33.010,22.906,78.682,78.673,39.811,39.921,56.670,56.906,99.903,99.900,99.896,99.880,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.843,100.000,100.000,99.110,99.135,99.776,99.789,92.920,94.744,
3.900, ,,0.000,50.082,-0.000,44.843,-0.000,-31.824,91.850,95.189,34.400,29.675,81.422,-37.665,53.760,-52.659,89.986,0.000,0.015,176.440,176.078,163.739,164.147,68.236,67.759,0.057,0.074,-0.150,-0.179,0.018,0.035,-2.129,-1.957,-5.348,-3.403,-2.012,-1.209,-0.923,-0.869,-15.515,-6.176,0.099,-9.509,-8.658,-21.900,-21.229,-88.030,-79.830,7.595,7.092,10.230,6.433,13.580,15.103,74.466,69.647,69.597,75.992,104.275,91.721,41.128,34.751,225.108,152.646,85.621,195.986,195.964,135.146,135.516,171.383,172.100,2.430,2.270,3.274,2.059,4.617,5.135,18.298,17.114,17.127,18.701,28.450,25.025,9.315,7.871,70.926,33.010,22.906,78.682,78.674,39.800,39.909,56.675,56.912,99.903,99.900,99.896,99.881,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.843,100.000,100.000,99.110,99.135,99.778,99.790,92.934,94.754,
3.933, ,,0.000,49.573,-0.000,44.387,-0.000,-31.500,92.695,96.000,34.111,29.456,81.066,-37.465,53.644,-52.858,89.986,0.000,0.015,176.635,176.285,163.624,164.019,68.326,67.856,0.057,0.077,-0.149,-0.178,0.018,0.035,-2.141,-1.947,-5.336,-3.393,-2.008,-1.214,-0.915,-0.865,-15.467,-6.111,0.099,-9.457,-8.658,-21.353,-20.794,-87.035,-79.340,7.595,7.113,10.230,6.522,13.580,15.098,74.490,69.654,69.759,76.141,104.384,91.834,41.077,34.826,224.686,152.645,85.620,195.998,195.976,135.042,135.400,171.248,171.955,2.430,2.276,3.274,2.087,4.617,5.133,18.304,17.116,17.167,18.737,28.479,25.056,9.304,7.888,70.793,33.010,22.905,78.687,78.679,39.769,39.875,56.630,56.864,99.903,99.900,99.896,99.881,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.843,100.000,100.000,99.111,99.135,99.787,99.797,93.153,94.833,
3.967, ,,0.000,48.755,-0.000,43.655,-0.000,-30.980,94.054,97.304,33.646,29.104,80.489,-37.140,53.464,-53.183,89.986,0.000,0.015,176.899,176.557,163.448,163.824,68.431,67.957,0.056,0.081,-0.148,-0.177,0.018,0.035,-2.160,-1.930,-5.316,-3.376,-2.000,-1.222,-0.901,-0.858,-15.387,-6.005,0.098,-9.399,-8.631,-20.643,-20.170,-85.899,-78.574,7.595,7.145,10.230,6.662,13.580,15.089,74.523,69.663,70.019,76.381,104.558,92.017,40.993,34.948,224.115,152.644,85.620,196.015,195.993,134.882,135.223,171.091,171.803,2.430,2.286,3.274,2.132,4.617,5.130,18.312,17.118,17.231,18.796,28.527,25.105,9.284,7.916,70.613,33.009,22.905,78.694,78.685,39.722,39.823,56.578,56.814,99.903,99.899,99.896,99.882,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.844,100.000,100.000,99.113,99.136,99.798,99.806,93.395,94.961,
4.000, ,,0.000,47.652,-0.000,42.668,-0.000,-30.280,95.884,99.061,33.021,28.630,79.701,-36.695,53.232,-53.627,89.987,0.000,0.014,177.242,176.917,163.227,163.578,68.576,68.105,0.056,0.087,-0.147,-0.175,0.018,0.035,-2.182,-1.907,-5.285,-3.354,-1.987,-1.232,-0.883,-0.848,-15.274,-5.860,0.097,-9.310,-8.602,-19.698,-19.352,-84.314,-77.594,7.595,7.188,10.230,6.848,13.580,15.077,74.558,69.666,70.369,76.704,104.792,92.264,40.875,35.116,223.370,152.642,85.620,196.038,196.016,134.681,135.000,170.873,171.581,2.430,2.300,3.274,2.191,4.617,5.126,18.320,17.118,17.317,18.876,28.591,25.173,9.258,7.953,70.379,33.009,22.905,78.703,78.694,39.663,39.757,56.506,56.740,99.904,99.899,99.896,99.883,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.844,100.000,100.000,99.116,99.137,99.812,99.818,93.724,95.120,
4.033, ,,0.000,46.290,-0.000,41.448,-0.000,-29.414,98.145,101.232,32.249,28.046,78.712,-36.133,52.963,-54.187,89.987,0.000,0.014,177.656,177.348,162.979,163.303,68.770,68.302,0.055,0.094,-0.145,-0.173,0.017,0.034,-2.206,-1.877,-5.243,-3.327,-1.968,-1.242,-0.859,-0.834,-15.126,-5.679,0.096,-9.198,-8.559,-18.561,-18.354,-82.359,-76.349,7.595,7.240,10.230,7.073,13.580,15.063,74.586,69.657,70.798,77.106,105.080,92.570,40.723,35.327,222.475,152.639,85.619,196.067,196.045,134.456,134.750,170.582,171.284,2.430,2.317,3.274,2.263,4.617,5.121,18.327,17.116,17.423,18.975,28.669,25.256,9.223,8.001,70.097,33.008,22.905,78.715,78.706,39.597,39.683,56.410,56.642,99.904,99.898,99.896,99.885,99.834,99.832,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.845,100.000,100.000,99.119,99.138,99.828,99.832,94.111,95.315,
4.067, ,,0.000,44.693,-0.000,40.018,-0.000,-28.400,100.797,103.777,31.346,27.362,77.528,-35.457,52.674,-54.861,89.988,0.000,0.013,178.123,177.836,162.722,163.015,69.013,68.552,0.054,0.100,-0.142,-0.170,0.017,0.033,-2.227,-1.840,-5.188,-3.296,-1.943,-1.250,-0.830,-0.816,-14.940,-5.462,0.094,-9.064,-8.498,-17.276,-17.201,-80.092,-74.835,7.595,7.299,10.230,7.327,13.580,15.045,74.598,69.628,71.299,77.577,105.416,92.928,40.534,35.581,221.462,152.636,85.619,196.101,196.080,134.223,134.489,170.216,170.909,2.430,2.336,3.274,2.345,4.617,5.115,18.330,17.109,17.546,19.091,28.761,25.354,9.180,8.059,69.777,33.008,22.905,78.729,78.720,39.528,39.606,56.289,56.518,99.904,99.897,99.897,99.886,99.834,99.833,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.846,100.000,100.000,99.123,99.140,99.845,99.846,94.534,95.543,
4.100, ,,0.000,42.886,-0.000,38.400,-0.000,-27.251,103.797,106.657,30.327,26.591,76.153,-34.667,52.385,-55.648,89.988,0.000,0.013,178.632,178.365,162.474,162.736,69.310,68.856,0.053,0.107,-0.140,-0.166,0.016,0.033,-2.243,-1.796,-5.117,-3.260,-1.908,-1.256,-0.796,-0.794,-14.713,-5.212,0.092,-8.907,-8.418,-15.879,-15.919,-77.554,-73.057,7.595,7.363,10.230,7.606,13.580,15.024,74.584,69.571,71.862,78.113,105.794,93.335,40.305,35.878,220.361,152.633,85.618,196.141,196.120,133.998,134.235,169.770,170.452,2.430,2.356,3.274,2.434,4.617,5.108,18.327,17.095,17.684,19.223,28.864,25.465,9.129,8.126,69.430,33.007,22.905,78.745,78.736,39.462,39.532,56.141,56.367,99.904,99.896,99.897,99.888,99.834,99.833,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.847,100.000,100.000,99.128,99.143,99.862,99.861,94.978,95.800,
4.133, ,,0.000,40.893,-0.000,36.616,-0.000,-25.985,107.106,109.832,29.207,25.742,74.590,-33.762,52.117,-56.548,89.989,0.000,0.012,179.167,178.923,162.250,162.480,69.662,69.219,0.051,0.114,-0.136,-0.161,0.016,0.031,-2.250,-1.745,-5.028,-3.221,-1.864,-1.256,-0.757,-0.767,-14.443,-4.931,0.089,-8.726,-8.316,-14.400,-14.534,-74.769,-71.036,7.595,7.431,10.230,7.900,13.580,15.000,74.534,69.479,72.477,78.708,106.206,93.785,40.033,36.217,219.201,152.629,85.617,196.186,196.165,133.794,134.003,169.241,169.906,2.430,2.378,3.274,2.528,4.617,5.100,18.314,17.072,17.836,19.369,28.977,25.588,9.067,8.203,69.065,33.006,22.905,78.763,78.754,39.402,39.463,55.967,56.187,99.904,99.895,99.897,99.889,99.834,99.833,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.848,100.000,100.000,99.134,99.146,99.877,99.876,95.431,96.078,
4.167, ,,0.000,38.740,-0.000,34.688,-0.000,-24.617,110.681,113.264,28.002,24.829,72.837,-32.741,51.895,-57.564,89.989,0.000,0.012,179.718,179.496,162.064,162.264,70.072,69.642,0.050,0.120,-0.132,-0.155,0.015,0.030,-2.245,-1.686,-4.919,-3.179,-1.810,-1.250,-0.714,-0.735,-14.126,-4.624,0.085,-8.524,-8.188,-12.871,-13.070,-71.786,-68.769,7.595,7.501,10.230,8.203,13.580,14.973,74.439,69.346,73.133,79.354,106.647,94.273,39.713,36.600,218.008,152.625,85.616,196.234,196.214,133.626,133.807,168.625,169.271,2.430,2.400,3.274,2.625,4.617,5.091,18.291,17.040,17.997,19.528,29.097,25.721,8.995,8.290,68.689,33.005,22.904,78.782,78.774,39.352,39.406,55.763,55.977,99.904,99.894,99.898,99.891,99.834,99.833,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.850,100.000,100.000,99.140,99.150,99.892,99.890,95.878,96.371,
4.200, ,,0.000,36.451,-0.000,32.638,-0.000,-23.162,114.482,116.912,26.728,23.862,70.893,-31.601,51.745,-58.698,89.990,0.000,0.011,179.727,179.928,161.930,162.100,70.539,70.124,0.048,0.118,-0.128,-0.140,0.015,0.026,-2.217,-1.620,-4.779,-3.133,-1.740,-1.237,-0.665,-0.698,-13.752,-4.294,0.081,-8.294,-8.028,-11.316,-11.548,-68.634,-66.269,7.595,7.572,10.230,8.507,13.580,14.944,74.292,69.164,73.822,80.045,107.109,94.793,39.339,37.028,217.554,152.621,85.616,196.235,196.253,133.504,133.658,167.924,168.547,2.430,2.423,3.274,2.722,4.617,5.081,18.255,16.995,18.167,19.698,29.223,25.863,8.910,8.387,68.546,33.005,22.904,78.782,78.790,39.316,39.362,55.531,55.737,99.905,99.895,99.898,99.894,99.834,99.833,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.852,100.000,100.000,99.147,99.154,99.905,99.904,96.312,96.675,
4.233, ,,0.000,34.050,-0.000,30.488,-0.000,-21.637,118.467,120.738,25.400,22.853,68.751,-30.337,51.696,-59.954,89.991,0.000,0.010,179.180,179.359,161.857,161.999,71.062,70.666,0.046,0.115,-0.122,-0.126,0.014,0.020,-2.170,-1.547,-4.619,-3.084,-1.658,-1.213,-0.614,-0.656,-13.329,-3.947,0.076,-8.042,-7.840,-9.762,-9.998,-65.350,-63.564,7.595,7.642,10.230,8.808,13.580,14.913,74.087,68.930,74.532,80.777,107.586,95.342,38.904,37.503,218.785,152.617,85.615,196.187,196.202,133.437,133.567,167.139,167.734,2.430,2.445,3.274,2.819,4.617,5.070,18.205,16.937,18.341,19.878,29.353,26.012,8.811,8.494,68.934,33.004,22.904,78.763,78.769,39.297,39.335,55.272,55.468,99.905,99.895,99.899,99.896,99.834,99.834,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.856,100.000,100.000,99.154,99.160,99.917,99.916,96.724,96.981,
4.267, ,,0.000,31.563,-0.000,28.261,-0.000,-20.056,122.597,124.701,24.036,21.815,66.402,-28.944,51.781,-61.338,89.991,0.000,0.009,178.648,178.808,161.853,161.971,71.640,71.264,0.044,0.116,-0.117,-0.119,0.013,0.019,-2.114,-1.466,-4.444,-3.032,-1.569,-1.179,-0.563,-0.610,-12.869,-3.588,0.071,-7.776,-7.628,-8.237,-8.448,-61.972,-60.673,7.595,7.710,10.230,9.100,13.580,14.878,73.819,68.640,75.252,81.543,108.069,95.913,38.400,38.025,219.980,152.612,85.614,196.142,196.155,133.435,133.541,166.270,166.835,2.430,2.467,3.274,2.912,4.617,5.059,18.139,16.866,18.519,20.067,29.485,26.168,8.697,8.612,69.310,33.003,22.904,78.745,78.751,39.296,39.327,54.984,55.171,99.905,99.895,99.899,99.898,99.835,99.834,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.859,100.000,100.000,99.162,99.166,99.928,99.926,97.108,97.284,
4.300, ,,0.000,29.014,-0.000,25.979,-0.000,-18.436,126.829,128.763,22.652,20.758,63.834,-27.416,52.034,-62.857,89.992,0.000,0.009,178.143,178.282,161.926,162.020,72.270,71.918,0.043,0.115,-0.111,-0.111,0.012,0.018,-2.037,-1.380,-4.249,-2.977,-1.469,-1.133,-0.510,-0.561,-12.362,-3.223,0.065,-7.490,-7.388,-6.754,-6.917,-58.518,-57.628,7.595,7.775,10.230,9.377,13.580,14.842,73.485,68.293,75.972,82.336,108.552,96.503,37.816,38.598,221.119,152.607,85.613,196.103,196.113,133.501,133.586,165.324,165.853,2.430,2.488,3.274,3.001,4.617,5.046,18.057,16.781,18.696,20.262,29.617,26.329,8.565,8.742,69.669,33.002,22.903,78.729,78.734,39.315,39.340,54.671,54.846,99.905,99.896,99.900,99.899,99.835,99.834,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.863,100.000,100.000,99.170,99.173,99.936,99.936,97.463,97.576,
4.333, ,,0.000,26.428,-0.000,23.663,-0.000,-16.793,131.123,132.885,21.265,19.695,61.031,-25.745,52.495,-64.517,89.993,0.000,0.008,177.670,177.790,162.081,162.154,72.950,72.621,0.040,0.112,-0.104,-0.103,0.011,0.016,-1.940,-1.287,-4.034,-2.918,-1.359,-1.076,-0.458,-0.510,-11.813,-2.859,0.059,-7.187,-7.123,-5.332,-5.429,-55.021,-54.454,7.595,7.835,10.230,9.636,13.580,14.804,73.085,67.889,76.679,83.153,109.026,97.105,37.144,39.225,222.183,152.603,85.612,196.068,196.076,133.641,133.707,164.303,164.796,2.430,2.507,3.274,3.084,4.617,5.033,17.958,16.682,18.870,20.463,29.746,26.494,8.413,8.884,70.005,33.001,22.903,78.715,78.719,39.357,39.376,54.334,54.497,99.906,99.896,99.901,99.900,99.835,99.834,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.867,100.000,100.000,99.178,99.180,99.944,99.944,97.785,97.855,
4.367, ,,0.000,23.829,-0.000,21.337,-0.000,-15.142,135.437,137.026,19.894,18.639,57.975,-23.924,53.202,-66.325,89.993,0.000,0.007,177.237,177.340,162.319,162.374,73.673,73.371,0.038,0.107,-0.097,-0.095,0.010,0.015,-1.824,-1.189,-3.804,-2.855,-1.240,-1.006,-0.407,-0.458,-11.229,-2.503,0.052,-6.870,-6.835,-3.985,-4.005,-51.511,-51.187,7.595,7.891,10.230,9.874,13.580,14.765,72.621,67.431,77.361,83.986,109.483,97.716,36.370,39.908,223.159,152.598,85.611,196.037,196.044,133.857,133.907,163.216,163.670,2.430,2.525,3.274,3.160,4.617,5.020,17.844,16.569,19.038,20.668,29.871,26.660,8.237,9.039,70.312,33.000,22.903,78.703,78.706,39.420,39.435,53.974,54.124,99.906,99.897,99.901,99.901,99.835,99.834,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.871,100.000,100.000,99.187,99.188,99.950,99.950,98.075,98.115,
4.400, ,,0.000,21.243,-0.000,19.021,-0.000,-13.499,139.730,141.147,18.556,17.600,54.647,-21.947,54.199,-68.289,89.994,0.000,0.006,176.850,176.936,162.643,162.681,74.436,74.161,0.036,0.100,-0.089,-0.087,0.009,0.014,-1.690,-1.087,-3.564,-2.788,-1.114,-0.925,-0.358,-0.405,-10.616,-2.159,0.046,-6.543,-6.530,-2.730,-2.668,-48.010,-47.865,7.595,7.942,10.230,10.088,13.580,14.724,72.096,66.922,78.008,84.830,109.914,98.330,35.483,40.649,224.034,152.593,85.610,196.011,196.017,134.151,134.186,162.071,162.483,2.430,2.541,3.274,3.228,4.617,5.006,17.715,16.444,19.197,20.876,29.988,26.828,8.037,9.207,70.588,32.998,22.903,78.693,78.695,39.507,39.517,53.595,53.732,99.906,99.898,99.902,99.902,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.875,100.000,100.000,99.196,99.197,99.956,99.956,98.333,98.354,
4.433, ,,0.000,18.694,-0.000,16.739,-0.000,-11.879,143.963,145.209,17.270,16.591,51.029,-19.811,55.525,-70.412,89.995,0.000,0.006,176.513,176.585,163.051,163.076,75.231,74.985,0.034,0.092,-0.082,-0.079,0.009,0.012,-1.543,-0.983,-3.319,-2.718,-0.982,-0.834,-0.311,-0.353,-9.983,-1.834,0.039,-6.210,-6.211,-1.581,-1.437,-44.552,-44.527,7.595,7.987,10.230,10.277,13.580,14.683,71.517,66.369,78.606,85.679,110.312,98.942,34.470,41.451,224.795,152.588,85.609,195.990,195.995,134.521,134.544,160.876,161.246,2.430,2.556,3.274,3.289,4.617,4.992,17.573,16.308,19.344,21.085,30.097,26.995,7.807,9.388,70.827,32.997,22.902,78.684,78.686,39.616,39.623,53.200,53.323,99.906,99.899,99.903,99.903,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.878,100.000,100.000,99.206,99.206,99.960,99.961,98.560,98.569,
4.467, ,,0.000,16.207,-0.000,14.512,-0.000,-10.298,148.092,149.173,16.053,15.623,47.108,-17.514,57.215,-72.694,89.995,0.000,0.005,176.231,176.289,163.540,163.553,76.052,75.834,0.032,0.083,-0.074,-0.071,0.008,0.011,-1.385,-0.878,-3.076,-2.644,-0.847,-0.734,-0.267,-0.303,-9.342,-1.532,0.033,-5.875,-5.886,-0.197,-0.670,-41.165,-41.213,7.595,8.026,10.230,10.441,13.580,14.641,70.892,65.779,79.144,86.527,110.667,99.548,33.323,42.312,225.435,152.584,85.608,195.973,195.977,134.965,134.977,159.643,159.971,2.430,2.568,3.274,3.341,4.617,4.978,17.420,16.163,19.476,21.293,30.194,27.160,7.547,9.583,71.029,32.996,22.902,78.677,78.679,39.747,39.750,52.793,52.901,99.907,99.900,99.904,99.904,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.882,100.000,100.000,99.215,99.215,99.965,99.963,98.758,98.761,
4.500, ,,0.000,13.806,-0.000,12.362,-0.000,-8.773,152.078,152.998,14.924,14.709,42.884,-15.063,59.290,-75.129,89.996,0.000,0.004,176.006,176.052,164.105,164.110,76.890,76.700,0.030,0.074,-0.066,-0.063,0.007,0.009,-1.221,-0.773,-2.844,-2.566,-0.710,-0.627,-0.227,-0.256,-8.702,-1.256,0.027,-5.545,-5.560,0.747,0.263,-37.878,-37.963,7.595,8.059,10.230,10.579,13.580,14.600,70.232,65.163,79.614,87.367,110.974,100.140,32.038,43.232,225.948,152.579,85.607,195.960,195.963,130.131,130.121,158.385,158.669,2.430,2.579,3.274,3.385,4.617,4.964,17.257,16.012,19.592,21.500,30.277,27.322,7.256,9.792,71.191,32.996,22.902,78.672,78.673,45.542,45.539,52.377,52.471,99.907,99.902,99.904,99.905,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.886,100.000,100.000,99.224,99.224,99.775,99.782,98.929,98.928,
4.533, ,,0.000,11.517,-0.000,10.312,-0.000,-7.318,155.879,156.647,13.899,13.857,38.376,-12.476,61.754,-77.702,89.997,0.000,0.003,175.840,175.876,164.738,164.736,77.734,77.573,0.028,0.065,-0.059,-0.056,0.006,0.008,-1.054,-0.670,-2.629,-2.485,-0.575,-0.515,-0.190,-0.212,-8.076,-1.008,0.022,-5.223,-5.239,1.544,1.056,-34.724,-34.821,7.595,8.087,10.230,10.693,13.580,14.559,69.550,64.533,80.006,88.191,111.226,100.715,30.616,44.202,226.331,152.575,85.606,195.951,195.953,128.887,128.890,157.116,157.358,2.430,2.588,3.274,3.422,4.617,4.950,17.090,15.857,19.688,21.703,30.346,27.478,6.934,10.011,71.311,32.995,22.902,78.668,78.669,45.107,45.108,51.957,52.037,99.907,99.903,99.905,99.906,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.889,100.000,100.000,99.233,99.232,99.762,99.770,99.075,99.073,
